"","A1","A2","A3","B1","B2","B3","B4","А4"
"ENSG00000008256",1522,1524,1670,180,251,217,187,1578
"ENSG00000008277",274,233,238,344,328,427,396,282
"ENSG00000008282",1664,1805,1695,473,458,449,448,1710
"ENSG00000008283",1441,1278,1319,188,165,154,171,1305
"ENSG00000008294",5607,5617,5548,4449,4812,4885,4568,5380
"ENSG00000008300",122,79,202,90,71,74,66,132
"ENSG00000008311",1754,1879,1844,157,154,155,150,1814
"ENSG00000008323",2147,2131,2038,295,237,255,282,2031
"ENSG00000008324",285,309,310,96,88,113,75,307
"ENSG00000008382",350,337,463,72,84,96,92,339
"ENSG00000008394",820,846,888,261,250,246,292,798
"ENSG00000008405",974,1095,987,222,222,284,195,1153
"ENSG00000008438",3,5,4,24,23,11,19,8
"ENSG00000008441",465,402,447,208,230,118,196,431
"ENSG00000008513",601,662,788,3049,2765,2416,2910,521
"ENSG00000008516",86,66,39,828,815,777,659,74
"ENSG00000008517",1479,1551,1428,287,373,350,334,1451
"ENSG00000008710",1436,1015,1361,349,373,409,374,1306
"ENSG00000008735",90,75,86,74,66,66,70,70
"ENSG00000008838",873,895,1054,380,360,328,361,1066
"ENSG00000008853",1853,1468,1707,219,226,199,153,1548
"ENSG00000008869",2251,2312,2151,2603,2387,2661,2433,2491
"ENSG00000008952",4621,4887,4525,2306,2332,2394,2406,4459
"ENSG00000008988",8477,7904,8815,2902,3039,3286,3183,9210
"ENSG00000009307",16367,17160,16027,8883,9595,10796,9075,15504
"ENSG00000009335",3339,3159,3068,2088,1971,1903,1995,3143
"ENSG00000009413",2999,3178,2823,2544,2666,2621,2400,2661
"ENSG00000009694",130,76,60,606,755,665,570,61
"ENSG00000009709",0,0,0,16,10,18,19,0
"ENSG00000009724",92,105,113,173,180,201,167,142
"ENSG00000009765",5076,5138,4681,222,295,294,253,5036
"ENSG00000009780",595,691,574,372,409,309,359,572
"ENSG00000009790",364,469,472,2991,3047,3069,2676,435
"ENSG00000009830",274,216,275,169,153,210,163,314
"ENSG00000009844",1624,1357,1524,512,621,484,476,1504
"ENSG00000009950",877,966,990,53,69,54,84,933
"ENSG00000009954",2975,3315,2970,1249,1270,1130,1164,2913
"ENSG00000010017",1395,1421,1411,633,640,692,614,1145
"ENSG00000010030",283,297,320,52,66,34,43,315
"ENSG00000010072",459,416,397,446,447,541,515,446
"ENSG00000010165",646,444,539,431,299,339,372,519
"ENSG00000010219",280,222,305,148,160,137,163,267
"ENSG00000010244",7764,8082,7968,7613,7586,7313,7010,7884
"ENSG00000010256",5467,5366,5892,668,783,804,744,5566
"ENSG00000010270",1211,1189,1285,457,500,421,461,1170
"ENSG00000010278",2462,2239,2549,425,419,476,413,2542
"ENSG00000010282",6,3,0,11,17,15,20,0
"ENSG00000010292",1417,1210,1207,787,827,636,650,1317
"ENSG00000010295",257,256,276,292,351,291,230,297
"ENSG00000010310",140,139,157,176,205,124,182,133
"ENSG00000010318",188,238,207,123,156,103,105,196
"ENSG00000010319",174,188,231,9,11,49,38,183
"ENSG00000010322",1495,1309,1452,927,945,807,688,1446
"ENSG00000010327",5786,6033,6787,954,954,800,709,6237
"ENSG00000010361",115,131,158,144,145,119,143,145
"ENSG00000010379",116,119,125,22,23,10,15,113
"ENSG00000010404",2030,2193,2273,2512,2593,2485,2448,2336
"ENSG00000010438",1198,1040,1213,45,39,21,35,1217
"ENSG00000010539",532,590,573,942,946,966,875,533
"ENSG00000010610",403,351,444,745,771,684,734,430
"ENSG00000010626",26,52,20,50,60,60,67,47
"ENSG00000010671",208,206,151,1077,990,1020,937,206
"ENSG00000010704",326,298,347,235,284,200,180,295
"ENSG00000010803",756,797,860,254,198,251,165,979
"ENSG00000010810",908,945,951,3962,4086,3771,3632,907
"ENSG00000010818",1691,1461,1009,1880,1565,2664,1661,941
"ENSG00000010932",46,38,46,27,9,44,17,51
"ENSG00000011007",1154,1084,1214,439,474,367,390,1156
"ENSG00000011009",901,789,934,173,122,158,111,1001
"ENSG00000011021",553,467,524,332,304,275,314,552
"ENSG00000011028",505,397,421,592,596,573,400,551
"ENSG00000011052",0,72,17,22,0,0,0,23
"ENSG00000011083",109,101,104,38,26,12,26,124
"ENSG00000011105",325,328,368,65,29,84,65,288
"ENSG00000011114",825,916,806,573,625,631,532,802
"ENSG00000011132",543,576,601,318,325,278,282,516
"ENSG00000011143",263,254,198,154,114,123,124,237
"ENSG00000011198",1483,1505,1484,3238,2977,3197,3082,1493
"ENSG00000011201",29,65,58,51,67,48,43,48
"ENSG00000011243",1056,923,1033,573,561,570,544,1008
"ENSG00000011258",1156,1251,1413,1183,1289,1347,1322,1182
"ENSG00000011260",530,612,530,427,417,362,422,578
"ENSG00000011275",1216,1170,1039,1536,1321,1470,1536,1089
"ENSG00000011295",2583,2682,2624,1040,996,925,982,2499
"ENSG00000011304",2555,2566,2465,937,920,921,744,2406
"ENSG00000011332",27,44,42,70,97,84,78,32
"ENSG00000011347",108,129,147,19,30,28,30,132
"ENSG00000011376",672,617,735,477,431,565,452,670
"ENSG00000011405",5250,5109,5003,1389,1486,1521,1731,4768
"ENSG00000011422",250,179,233,684,638,571,561,224
"ENSG00000011426",307,350,414,101,72,88,115,318
"ENSG00000011451",421,380,545,142,107,110,148,462
"ENSG00000011454",1353,1291,1262,1242,1203,924,1068,1438
"ENSG00000011465",5759,5873,5710,306,300,298,314,5832
"ENSG00000011478",129,104,150,61,74,90,54,151
"ENSG00000011485",829,685,805,355,358,293,350,823
"ENSG00000011523",1015,1107,1117,1161,1087,1098,1101,1018
"ENSG00000011566",1597,1873,1574,438,435,299,491,1757
"ENSG00000011590",34,48,34,38,67,38,30,36
"ENSG00000011600",226,219,260,1428,1379,1233,1117,251
"ENSG00000011638",182,225,206,125,139,135,128,199
"ENSG00000011677",3,8,8,58,39,30,56,4
"ENSG00000012048",416,519,491,369,410,321,378,430
"ENSG00000012061",517,520,554,519,387,375,372,573
"ENSG00000012124",64,70,97,407,444,414,411,97
"ENSG00000012171",1164,1066,1280,41,50,51,42,1105
"ENSG00000012174",395,434,380,203,205,236,247,449
"ENSG00000012211",170,155,150,113,92,89,129,152
"ENSG00000012223",27,35,24,313,267,351,232,30
"ENSG00000012232",847,932,703,1569,1633,1719,1630,601
"ENSG00000012504",925,896,782,77,26,78,106,922
"ENSG00000012660",826,889,873,3087,3057,3185,2931,842
