"","A1","A2","A3","B1","B2","B3","B4","А4"
"ENSG00000230274",0,1,0,4,1,2,6,0
"ENSG00000230275",0,0,0,4,6,5,5,0
"ENSG00000230276",0,0,0,1,0,0,1,0
"ENSG00000230279",0,0,2,2,3,3,1,1
"ENSG00000230280",21,19,17,35,32,20,30,19
"ENSG00000230282",0,0,0,2,0,0,2,0
"ENSG00000230283",0,0,1,73,63,59,72,0
"ENSG00000230284",0,0,0,0,0,0,1,2
"ENSG00000230287",4,4,5,13,9,8,10,10
"ENSG00000230291",0,0,1,2,0,0,0,0
"ENSG00000230293",22,25,21,12,19,7,22,16
"ENSG00000230295",8,13,9,7,13,8,5,8
"ENSG00000230299",0,0,2,0,0,0,0,0
"ENSG00000230301",0,0,0,0,5,2,2,0
"ENSG00000230302",0,0,0,9,3,4,6,0
"ENSG00000230304",0,0,0,9,5,11,0,4
"ENSG00000230305",43,41,59,79,81,68,57,34
"ENSG00000230306",3,3,0,1,1,5,1,4
"ENSG00000230307",0,0,0,7,6,3,6,0
"ENSG00000230308",79,86,91,76,61,59,78,82
"ENSG00000230311",0,0,0,0,0,0,0,0
"ENSG00000230312",3,1,1,12,5,8,7,2
"ENSG00000230318",0,0,0,5,2,2,3,0
"ENSG00000230320",2,3,0,5,2,7,1,2
"ENSG00000230321",8,10,4,4,2,4,3,6
"ENSG00000230326",0,1,1,0,0,1,3,0
"ENSG00000230327",0,0,2,5,8,5,3,0
"ENSG00000230328",0,0,0,1,0,0,7,0
"ENSG00000230330",0,0,0,0,0,2,1,0
"ENSG00000230331",0,0,0,1,1,4,6,0
"ENSG00000230332",0,6,4,4,3,0,8,5
"ENSG00000230335",0,0,1,4,5,2,7,0
"ENSG00000230336",83,72,80,1,0,0,1,87
"ENSG00000230338",14,0,31,0,0,0,0,0
"ENSG00000230339",0,0,0,2,0,0,2,0
"ENSG00000230341",0,0,0,59,58,58,58,0
"ENSG00000230342",0,0,0,3,0,10,4,0
"ENSG00000230343",0,0,0,0,0,0,3,0
"ENSG00000230347",0,0,0,0,1,0,0,0
"ENSG00000230350",4,4,3,2,2,4,5,3
"ENSG00000230353",0,0,0,0,0,1,0,0
"ENSG00000230354",0,0,0,0,1,0,0,0
"ENSG00000230355",0,1,3,1,4,0,3,0
"ENSG00000230356",0,1,0,4,4,6,4,2
"ENSG00000230357",0,0,0,0,0,0,0,0
"ENSG00000230358",12,21,8,5,5,4,7,12
"ENSG00000230359",10,8,21,7,18,5,7,6
"ENSG00000230360",0,0,0,11,7,3,8,0
"ENSG00000230361",0,0,0,1,4,4,3,0
"ENSG00000230362",0,0,0,4,4,6,5,0
"ENSG00000230364",0,1,0,6,4,2,4,1
"ENSG00000230370",8,6,11,10,13,15,13,5
"ENSG00000230371",1,6,6,3,4,0,5,1
"ENSG00000230373",79,173,81,63,54,59,60,91
"ENSG00000230375",1,0,0,1,1,1,0,0
"ENSG00000230376",0,0,0,1,0,1,0,0
"ENSG00000230377",0,0,0,0,2,0,1,0
"ENSG00000230383",4,1,1,0,2,4,4,0
"ENSG00000230384",0,0,0,0,0,0,1,0
"ENSG00000230386",0,0,0,0,0,1,1,0
"ENSG00000230391",2,2,1,0,0,0,0,1
"ENSG00000230395",0,0,0,17,5,1,4,0
"ENSG00000230397",10,2,8,21,14,14,32,4
"ENSG00000230398",4,4,3,0,0,1,1,2
"ENSG00000230399",13,20,12,96,91,135,92,12
"ENSG00000230405",0,0,0,0,0,0,2,0
"ENSG00000230406",0,0,0,3,1,7,0,0
"ENSG00000230407",0,0,0,7,7,6,10,0
"ENSG00000230409",188,217,226,37,23,54,12,164
"ENSG00000230411",0,1,0,3,2,3,5,0
"ENSG00000230412",0,0,0,0,0,0,1,0
"ENSG00000230413",0,2,0,3,1,0,0,0
"ENSG00000230416",0,0,0,2,2,1,4,0
"ENSG00000230418",0,0,0,4,4,1,5,0
"ENSG00000230419",0,0,0,0,0,0,0,7
"ENSG00000230422",1,0,0,6,1,0,1,1
"ENSG00000230425",0,0,0,3,2,2,1,0
"ENSG00000230428",1,0,0,0,0,0,0,0
"ENSG00000230430",1,2,0,18,8,22,18,2
"ENSG00000230441",0,0,0,1,0,1,1,0
"ENSG00000230444",0,1,0,3,0,0,2,1
"ENSG00000230445",80,70,85,86,81,61,65,69
"ENSG00000230447",0,0,0,1,0,2,2,0
"ENSG00000230449",0,0,0,0,0,0,0,0
"ENSG00000230450",0,0,0,8,6,9,4,0
"ENSG00000230451",0,1,0,0,0,0,1,0
"ENSG00000230453",23,22,37,69,76,71,82,34
"ENSG00000230456",1,3,0,4,5,1,6,3
"ENSG00000230457",104,91,109,58,59,63,47,85
"ENSG00000230458",0,0,1,0,0,0,0,0
"ENSG00000230459",5,1,1,3,2,1,0,1
"ENSG00000230463",393,429,451,91,87,100,97,440
"ENSG00000230465",33,41,30,37,39,44,40,28
"ENSG00000230467",0,5,4,4,2,0,8,1
"ENSG00000230468",0,0,0,5,14,5,8,0
"ENSG00000230469",0,0,0,3,1,5,2,0
"ENSG00000230474",11,21,14,29,19,29,25,18
"ENSG00000230475",30,18,48,65,54,50,32,40
"ENSG00000230476",0,1,0,2,3,0,0,2
"ENSG00000230477",0,0,0,1,2,2,3,0
"ENSG00000230478",0,1,0,0,1,0,0,1
"ENSG00000230480",0,0,1,0,0,0,1,1
"ENSG00000230481",11,5,11,1,1,0,1,8
"ENSG00000230482",10,18,15,119,119,93,113,6
"ENSG00000230484",1,0,3,5,5,2,3,0
"ENSG00000230485",0,0,0,2,7,7,6,0
"ENSG00000230491",3,4,1,1,3,8,1,1
"ENSG00000230495",15,31,17,14,10,15,7,12
"ENSG00000230496",0,0,0,9,7,8,4,0
"ENSG00000230497",13,6,15,1,4,3,2,9
"ENSG00000230501",0,0,0,1,1,2,2,0
"ENSG00000230502",0,0,0,0,0,0,0,0
"ENSG00000230504",0,0,0,0,0,0,0,0
"ENSG00000230505",0,0,0,3,1,1,0,0
"ENSG00000230507",3,1,0,6,1,3,4,2
"ENSG00000230508",0,0,0,1,0,1,0,0
"ENSG00000230509",0,0,0,0,0,0,0,0
"ENSG00000230510",193,180,239,266,284,276,268,167
"ENSG00000230511",0,0,0,0,0,0,0,0
"ENSG00000230514",7,5,7,4,9,3,10,4
"ENSG00000230519",9,15,7,2,1,2,2,11
"ENSG00000230520",0,0,0,1,0,0,1,0
"ENSG00000230521",0,0,0,3,9,11,9,0
"ENSG00000230522",0,0,0,6,4,6,5,0
"ENSG00000230524",2,1,1,11,16,15,10,12
"ENSG00000230528",34,46,48,90,72,73,77,41
"ENSG00000230529",0,0,0,3,2,1,1,0
"ENSG00000230531",0,0,0,21,25,22,25,1
"ENSG00000230535",0,0,0,2,3,1,2,0
"ENSG00000230538",0,1,0,3,3,7,2,0
"ENSG00000230543",0,0,0,0,0,0,0,0
"ENSG00000230546",0,0,0,0,1,2,0,0
"ENSG00000230547",1,0,0,5,3,1,4,3
"ENSG00000230548",0,0,0,15,5,4,7,0
"ENSG00000230549",0,0,0,2,4,0,4,0
"ENSG00000230556",2,1,0,2,5,12,0,1
"ENSG00000230558",0,0,0,2,0,0,0,0
"ENSG00000230559",0,0,0,2,0,0,0,0
"ENSG00000230561",14,21,21,35,28,40,22,22
"ENSG00000230562",3,12,6,10,12,20,14,4
"ENSG00000230564",0,0,0,0,0,0,0,0
"ENSG00000230568",88,147,122,38,35,36,41,103
"ENSG00000230570",0,0,0,4,1,0,0,0
"ENSG00000230571",0,0,0,0,0,0,2,0
"ENSG00000230572",12,22,22,52,35,54,52,28
"ENSG00000230574",0,0,0,0,1,0,0,0
"ENSG00000230576",0,0,0,7,7,6,3,0
"ENSG00000230578",4,22,8,8,11,16,22,3
"ENSG00000230580",1,4,0,0,3,0,0,0
"ENSG00000230581",55,54,55,22,28,16,29,57
"ENSG00000230583",40,30,42,58,37,33,26,55
"ENSG00000230584",0,0,1,0,2,7,5,0
"ENSG00000230585",40,70,50,70,73,62,71,50
"ENSG00000230589",0,0,0,1,2,1,0,0
"ENSG00000230592",0,0,1,0,0,0,0,0
"ENSG00000230593",20,5,19,62,71,68,56,19
"ENSG00000230594",0,0,0,0,1,0,0,0
"ENSG00000230595",1,0,0,0,3,1,1,0
"ENSG00000230596",48,34,50,25,27,31,21,64
"ENSG00000230598",0,0,0,7,2,11,8,0
"ENSG00000230601",1,0,1,5,7,3,6,1
"ENSG00000230603",0,0,0,1,1,2,0,0
"ENSG00000230604",16,9,13,50,45,38,38,11
"ENSG00000230605",0,0,0,0,0,0,0,0
"ENSG00000230607",0,0,0,1,2,1,2,0
"ENSG00000230609",1,5,2,2,1,0,3,3
"ENSG00000230611",0,0,0,0,1,0,0,2
"ENSG00000230614",0,0,0,0,1,1,1,0
"ENSG00000230616",0,0,1,1,2,1,1,1
"ENSG00000230617",0,0,0,1,1,1,0,2
"ENSG00000230618",1,0,0,0,0,1,0,0
"ENSG00000230621",0,0,0,1,1,3,2,0
"ENSG00000230622",0,0,0,1,0,0,0,0
"ENSG00000230624",119,116,155,245,231,203,206,140
"ENSG00000230626",0,0,0,4,2,2,2,0
"ENSG00000230629",2,2,5,0,0,0,3,2
"ENSG00000230634",0,0,0,0,0,0,4,0
"ENSG00000230635",0,4,1,1,2,6,3,1
"ENSG00000230636",0,0,0,0,0,0,0,0
"ENSG00000230637",5,4,2,6,6,3,4,1
"ENSG00000230638",4,2,0,26,27,19,38,1
"ENSG00000230639",0,0,0,2,0,2,0,0
"ENSG00000230643",0,0,0,0,0,0,0,0
"ENSG00000230646",6,1,2,2,3,2,7,5
"ENSG00000230650",59,63,74,5,14,10,11,42
"ENSG00000230654",3,1,1,7,4,5,8,1
"ENSG00000230655",0,0,0,2,5,2,3,0
"ENSG00000230657",2,6,2,9,5,3,8,1
"ENSG00000230659",0,0,0,0,1,2,1,0
"ENSG00000230661",3,6,1,1,2,4,2,3
"ENSG00000230662",0,0,0,0,1,0,1,0
"ENSG00000230665",0,0,0,2,2,2,2,0
"ENSG00000230666",76,143,99,69,82,60,57,94
"ENSG00000230667",0,0,0,5,1,2,3,0
"ENSG00000230669",295,279,322,103,68,185,40,303
"ENSG00000230671",0,0,0,0,0,0,0,0
"ENSG00000230673",16,3,16,26,27,21,17,28
"ENSG00000230675",0,0,13,16,11,14,0,0
"ENSG00000230678",422,349,314,146,65,129,104,342
"ENSG00000230681",0,0,0,4,2,1,2,0
"ENSG00000230682",0,0,0,0,2,2,1,0
"ENSG00000230683",5,5,6,12,17,9,16,1
"ENSG00000230685",369,242,388,273,282,384,305,367
"ENSG00000230691",0,0,0,0,2,0,2,0
"ENSG00000230697",2,2,1,4,3,1,3,3
"ENSG00000230700",70,53,74,52,54,56,47,66
"ENSG00000230701",21,24,16,60,51,19,58,23
"ENSG00000230702",0,0,0,2,0,0,0,0
"ENSG00000230705",261,218,303,177,287,195,204,318
"ENSG00000230706",0,0,0,2,1,1,5,0
"ENSG00000230707",0,0,0,0,2,0,1,1
"ENSG00000230708",402,357,418,1248,1340,1083,1220,374
"ENSG00000230711",0,0,0,9,8,7,6,0
"ENSG00000230712",2,0,1,0,0,0,0,0
"ENSG00000230715",50,43,37,4,3,1,3,40
"ENSG00000230716",1,0,0,2,0,2,1,0
"ENSG00000230718",21,26,27,55,78,71,49,26
"ENSG00000230721",2,0,0,0,1,1,0,0
"ENSG00000230722",0,0,0,0,0,0,0,0
"ENSG00000230726",3716,3174,3744,845,781,788,782,3448
"ENSG00000230727",0,0,0,3,6,1,0,0
"ENSG00000230734",9,4,3,12,3,3,8,2
"ENSG00000230739",0,0,0,4,0,0,1,0
"ENSG00000230745",0,0,0,0,0,0,0,0
"ENSG00000230748",0,0,0,1,0,4,1,0
"ENSG00000230750",0,0,0,1,11,7,7,0
"ENSG00000230752",0,0,1,1,0,0,1,0
"ENSG00000230754",0,0,0,0,0,0,0,0
"ENSG00000230755",0,0,0,4,6,7,4,0
"ENSG00000230756",0,2,0,0,1,2,2,1
"ENSG00000230757",0,0,0,3,1,7,3,0
"ENSG00000230758",1,1,7,2,1,7,1,5
"ENSG00000230763",0,0,0,1,2,3,0,0
"ENSG00000230764",0,0,1,5,6,6,4,1
"ENSG00000230769",8,10,17,8,10,3,8,9
"ENSG00000230772",7,10,5,19,12,19,24,13
"ENSG00000230777",10,4,6,3,6,3,6,8
"ENSG00000230778",0,0,1,0,2,3,0,2
"ENSG00000230779",0,0,0,0,0,0,1,0
"ENSG00000230780",8,6,8,0,23,38,32,7
"ENSG00000230781",0,0,0,3,6,3,4,0
"ENSG00000230783",2,7,9,4,3,2,5,12
"ENSG00000230785",0,0,0,7,3,1,7,0
"ENSG00000230787",0,0,0,2,2,1,4,0
"ENSG00000230788",0,0,0,1,0,2,0,0
"ENSG00000230791",15,14,12,257,260,245,259,15
"ENSG00000230793",2,2,0,3,6,5,4,2
"ENSG00000230795",0,0,2,11,8,0,7,0
"ENSG00000230796",1,2,2,1,1,5,5,0
"ENSG00000230797",51,46,61,46,41,39,47,63
"ENSG00000230799",42,30,32,26,33,14,22,37
"ENSG00000230801",1,0,2,0,0,1,0,1
"ENSG00000230804",4,4,7,0,0,0,0,0
"ENSG00000230807",2,1,0,0,2,0,0,1
"ENSG00000230809",0,0,0,6,4,2,3,0
"ENSG00000230813",0,0,0,4,2,0,1,0
"ENSG00000230814",0,0,0,0,0,0,0,0
"ENSG00000230816",0,0,0,4,4,0,0,0
"ENSG00000230818",10,12,15,4,5,5,3,10
"ENSG00000230819",0,0,0,0,0,0,0,0
"ENSG00000230820",0,0,0,4,3,4,6,0
"ENSG00000230821",0,0,0,0,1,3,2,0
"ENSG00000230823",2,1,2,0,4,6,1,0
"ENSG00000230828",5,0,0,17,8,11,16,1
"ENSG00000230829",2,2,1,0,3,0,0,1
"ENSG00000230832",0,1,0,8,3,7,4,0
"ENSG00000230833",9,14,14,6,9,10,12,14
"ENSG00000230835",1,1,3,0,1,0,1,2
"ENSG00000230837",1,2,0,0,0,3,6,1
"ENSG00000230840",0,0,0,0,0,0,0,0
"ENSG00000230841",0,0,0,0,1,0,0,0
"ENSG00000230845",2,1,1,1,1,3,0,0
"ENSG00000230847",0,0,0,26,18,29,25,0
"ENSG00000230849",8,9,10,1,6,3,3,9
"ENSG00000230851",0,0,0,0,1,0,2,1
"ENSG00000230853",0,0,0,1,1,0,0,0
"ENSG00000230854",0,0,0,1,0,1,0,0
"ENSG00000230855",0,0,0,1,0,0,0,0
"ENSG00000230859",0,0,0,0,0,2,3,0
"ENSG00000230860",0,0,0,2,1,1,9,0
"ENSG00000230863",103,119,102,147,162,172,157,108
"ENSG00000230865",0,0,0,0,0,1,1,0
"ENSG00000230867",29,22,34,29,37,35,42,37
"ENSG00000230869",77,69,63,24,25,23,12,78
"ENSG00000230870",10,14,9,8,5,8,1,7
"ENSG00000230871",0,0,0,6,1,2,6,0
"ENSG00000230872",41,37,48,12,16,14,18,38
"ENSG00000230873",90,73,59,69,105,87,101,69
"ENSG00000230874",0,0,0,0,0,2,1,0
"ENSG00000230878",0,0,0,2,1,0,0,0
"ENSG00000230879",0,0,0,3,1,0,1,0
"ENSG00000230882",1,2,2,10,6,6,10,2
"ENSG00000230885",23,30,24,15,7,14,21,10
"ENSG00000230886",0,0,0,0,0,2,1,0
"ENSG00000230887",0,0,0,0,0,0,0,0
"ENSG00000230888",0,0,0,0,0,0,0,0
"ENSG00000230889",0,0,0,3,4,2,5,0
"ENSG00000230897",1,0,1,0,0,1,1,1
"ENSG00000230900",1,1,5,3,1,0,0,3
"ENSG00000230902",1,2,2,9,13,13,9,3
"ENSG00000230904",2,0,0,0,1,1,0,0
"ENSG00000230907",57,45,70,9,7,15,10,64
"ENSG00000230911",24,15,39,9,18,11,12,27
"ENSG00000230913",0,0,0,3,3,2,1,0
"ENSG00000230914",1,5,0,3,0,1,3,3
"ENSG00000230915",0,0,0,0,0,0,0,0
"ENSG00000230916",3,0,0,0,2,6,6,0
"ENSG00000230926",0,0,0,0,2,0,3,0
"ENSG00000230927",2,1,0,3,9,13,3,2
"ENSG00000230929",6,4,11,4,2,2,2,6
"ENSG00000230930",0,3,5,0,8,0,1,2
"ENSG00000230931",0,0,0,1,0,0,0,0
"ENSG00000230932",0,0,0,1,1,1,1,0
"ENSG00000230934",0,0,0,0,0,0,0,0
"ENSG00000230935",2,9,6,2,0,0,1,4
"ENSG00000230936",0,0,0,1,1,6,7,0
"ENSG00000230942",0,0,0,3,5,5,7,0
"ENSG00000230946",33,30,25,71,60,49,53,22
"ENSG00000230948",0,0,0,2,1,2,3,0
"ENSG00000230949",0,0,0,0,0,0,0,0
"ENSG00000230950",0,0,0,5,15,7,12,0
"ENSG00000230951",9,10,13,6,8,3,5,2
"ENSG00000230953",44,44,45,6,9,10,10,55
"ENSG00000230956",0,0,0,0,2,0,0,0
"ENSG00000230957",1,0,0,0,0,0,0,0
"ENSG00000230958",0,0,0,4,1,0,2,2
"ENSG00000230961",35,61,26,5,18,27,10,43
"ENSG00000230964",0,0,0,0,0,0,0,0
"ENSG00000230965",1,3,5,16,8,8,5,5
"ENSG00000230973",0,0,0,2,0,0,1,0
"ENSG00000230977",0,0,0,0,0,4,0,0
"ENSG00000230979",3,1,3,1,0,2,2,1
"ENSG00000230980",0,0,1,1,1,5,1,0
"ENSG00000230982",51,44,27,272,260,285,304,46
"ENSG00000230985",32,17,18,53,11,8,15,33
"ENSG00000230986",1,3,0,0,0,3,0,3
"ENSG00000230987",168,282,277,371,394,414,351,235
"ENSG00000230988",22,20,38,34,19,27,20,26
"ENSG00000230989",2938,2648,3097,566,486,714,449,3113
"ENSG00000230992",12,16,19,18,21,24,30,23
"ENSG00000230993",12,6,11,14,21,16,21,6
"ENSG00000230994",0,0,0,0,0,0,3,0
"ENSG00000230995",169,180,153,151,160,96,130,148
"ENSG00000230997",2,1,1,1,3,0,0,1
"ENSG00000230999",0,0,0,10,6,10,18,1
"ENSG00000231000",0,0,0,0,0,0,0,0
"ENSG00000231001",1,0,0,1,3,0,0,0
"ENSG00000231002",4,10,11,12,29,16,24,0
"ENSG00000231003",4,8,3,18,13,6,9,6
"ENSG00000231005",0,0,0,0,1,0,0,0
"ENSG00000231006",7,3,19,36,31,19,21,12
"ENSG00000231007",4,1,2,1,4,0,3,1
"ENSG00000231009",0,0,0,1,9,12,8,0
"ENSG00000231011",0,0,0,4,2,0,2,0
"ENSG00000231017",0,0,0,0,1,0,1,0
"ENSG00000231018",0,0,0,5,0,1,0,0
"ENSG00000231020",0,1,0,0,1,1,4,1
"ENSG00000231021",444,379,440,216,212,213,195,438
"ENSG00000231022",0,0,0,3,6,9,4,0
"ENSG00000231026",0,0,0,0,1,0,1,0
"ENSG00000231029",2,3,1,5,11,3,6,3
"ENSG00000231030",0,0,0,0,0,0,0,0
"ENSG00000231032",0,0,0,0,0,4,3,0
"ENSG00000231034",1,0,0,0,1,0,0,0
"ENSG00000231035",13,14,15,10,16,16,16,16
"ENSG00000231041",0,0,0,1,0,0,1,0
"ENSG00000231043",0,0,2,16,15,8,16,0
"ENSG00000231044",95,80,93,34,41,35,33,101
"ENSG00000231047",3,1,2,40,47,53,41,1
"ENSG00000231048",15,14,11,250,257,237,252,12
"ENSG00000231049",23,26,24,67,49,40,62,34
"ENSG00000231051",1,0,0,0,0,0,0,0
"ENSG00000231053",0,1,0,0,0,2,0,0
"ENSG00000231058",0,0,0,2,2,0,2,0
"ENSG00000231060",0,0,0,7,1,0,13,0
"ENSG00000231063",47,42,51,45,43,52,50,33
"ENSG00000231066",1,1,4,5,8,0,6,6
"ENSG00000231067",0,0,0,0,0,0,0,5
"ENSG00000231068",0,0,0,0,0,4,3,0
"ENSG00000231069",0,0,0,0,0,0,0,0
"ENSG00000231070",0,0,0,0,2,2,0,0
"ENSG00000231071",0,0,0,1,1,2,0,0
"ENSG00000231072",0,0,1,3,0,2,0,0
"ENSG00000231084",6,6,17,10,5,6,4,8
"ENSG00000231086",0,0,1,4,7,4,3,2
"ENSG00000231087",75,68,52,58,68,54,59,92
"ENSG00000231093",0,0,0,2,1,1,0,0
"ENSG00000231094",30,48,43,7,4,5,4,21
"ENSG00000231095",1,0,0,3,2,7,4,0
"ENSG00000231096",5,0,3,2,8,5,4,1
"ENSG00000231099",0,0,0,2,1,0,2,0
"ENSG00000231100",0,0,0,3,6,2,6,1
"ENSG00000231103",0,0,0,0,2,2,0,0
"ENSG00000231108",8,5,2,2,3,3,4,0
"ENSG00000231112",0,0,0,0,0,0,1,1
"ENSG00000231115",49,60,63,16,22,5,19,37
"ENSG00000231116",83,62,93,20,22,17,48,104
"ENSG00000231118",0,0,1,1,2,1,1,1
"ENSG00000231120",1,0,0,0,1,0,0,0
"ENSG00000231122",2,0,0,0,0,2,0,0
"ENSG00000231123",0,0,0,228,231,228,259,0
"ENSG00000231124",1,0,0,4,2,0,4,2
"ENSG00000231129",17,16,11,12,20,46,19,11
"ENSG00000231130",0,0,6,0,0,0,0,0
"ENSG00000231135",7,19,21,19,26,5,17,4
"ENSG00000231136",0,0,0,1,2,0,0,0
"ENSG00000231137",99,105,118,7,6,3,5,92
"ENSG00000231139",0,0,0,0,1,0,0,0
"ENSG00000231144",0,0,0,1,0,0,0,0
"ENSG00000231147",1,1,1,3,5,0,2,3
"ENSG00000231148",10,19,13,9,11,9,6,13
"ENSG00000231152",4,2,3,2,3,1,2,4
"ENSG00000231153",4,7,4,3,2,0,3,3
"ENSG00000231157",0,1,0,0,0,1,0,0
"ENSG00000231158",0,0,0,1,2,0,0,0
"ENSG00000231159",1,0,0,0,0,3,7,0
"ENSG00000231162",0,0,0,1,1,2,3,0
"ENSG00000231164",0,3,2,2,0,0,1,1
"ENSG00000231165",0,4,3,1,1,1,2,2
"ENSG00000231166",0,0,0,1,0,0,0,0
"ENSG00000231167",0,2,2,2,3,4,0,1
"ENSG00000231169",14,13,10,25,28,35,29,12
"ENSG00000231179",93,93,89,85,94,50,75,98
"ENSG00000231181",4,2,6,6,6,1,5,7
"ENSG00000231184",0,0,0,0,3,0,2,0
"ENSG00000231190",0,0,0,0,2,0,0,0
"ENSG00000231192",20,28,21,59,66,54,67,24
"ENSG00000231195",0,0,0,0,0,0,0,0
"ENSG00000231197",0,0,0,0,0,0,0,0
"ENSG00000231198",0,0,0,0,0,0,0,0
"ENSG00000231199",2,2,1,13,13,12,13,1
"ENSG00000231202",0,0,3,6,2,7,9,1
"ENSG00000231203",1,1,0,1,4,1,4,0
"ENSG00000231205",120,127,108,218,197,224,203,105
"ENSG00000231206",1,2,0,1,3,4,4,1
"ENSG00000231207",0,0,0,2,0,3,1,0
"ENSG00000231211",0,0,0,1,1,0,0,0
"ENSG00000231213",0,0,0,5,7,1,4,0
"ENSG00000231219",0,0,0,0,0,0,0,0
"ENSG00000231222",0,1,0,3,1,5,3,0
"ENSG00000231225",339,309,315,112,98,107,120,308
"ENSG00000231228",3,1,0,0,0,0,0,1
"ENSG00000231232",5,5,5,11,20,13,11,6
"ENSG00000231234",7,7,7,7,11,7,10,3
"ENSG00000231235",0,0,0,0,3,2,3,0
"ENSG00000231237",2,8,3,3,9,8,6,6
"ENSG00000231240",0,0,0,2,0,1,4,0
"ENSG00000231241",4,1,2,3,1,2,1,4
"ENSG00000231244",0,0,0,2,9,4,3,1
"ENSG00000231245",14,3,0,22,18,14,18,5
"ENSG00000231247",0,0,0,21,19,20,92,0
"ENSG00000231251",0,0,0,0,1,0,0,0
"ENSG00000231254",0,0,0,1,2,3,3,0
"ENSG00000231256",118,103,94,187,168,152,165,116
"ENSG00000231257",28,27,13,9,8,7,13,31
"ENSG00000231258",0,1,1,6,2,2,6,0
"ENSG00000231259",408,361,376,454,510,538,511,393
"ENSG00000231261",0,0,0,0,1,1,1,0
"ENSG00000231264",0,0,0,3,1,0,0,0
"ENSG00000231268",7,5,7,4,9,3,10,4
"ENSG00000231270",0,0,0,3,0,1,1,0
"ENSG00000231271",0,0,0,0,0,0,0,0
"ENSG00000231274",5,2,3,7,16,1,8,2
"ENSG00000231275",0,0,0,0,0,0,1,0
"ENSG00000231276",0,2,0,5,1,5,4,1
"ENSG00000231278",0,0,0,4,1,0,0,0
"ENSG00000231279",0,0,0,0,0,1,0,0
"ENSG00000231280",0,0,0,3,4,4,4,0
"ENSG00000231286",0,1,0,102,180,115,179,0
"ENSG00000231287",0,0,0,2,8,0,2,0
"ENSG00000231288",0,1,0,1,2,0,2,0
"ENSG00000231292",145,110,156,6,2,3,4,126
"ENSG00000231293",1,0,0,0,0,0,0,0
"ENSG00000231296",14,20,22,12,16,13,18,17
"ENSG00000231299",0,0,0,1,1,3,1,0
"ENSG00000231300",0,0,0,4,0,0,2,1
"ENSG00000231301",0,0,0,0,0,0,0,0
"ENSG00000231302",0,3,2,0,0,0,0,1
"ENSG00000231307",32,44,44,45,53,45,53,30
"ENSG00000231309",1,0,3,0,2,1,2,0
"ENSG00000231311",0,0,0,0,0,0,0,0
"ENSG00000231313",1,0,1,4,6,4,5,0
"ENSG00000231314",1,3,2,114,119,104,106,2
"ENSG00000231316",0,0,0,0,0,2,0,0
"ENSG00000231317",0,1,0,7,11,6,3,0
"ENSG00000231319",0,0,0,0,0,1,0,0
"ENSG00000231320",0,0,0,0,0,2,1,0
"ENSG00000231321",15,14,22,20,13,11,12,12
"ENSG00000231322",0,0,3,16,4,14,3,1
"ENSG00000231325",3,3,2,1,2,3,3,3
"ENSG00000231328",1,1,2,7,4,2,1,0
"ENSG00000231331",1,4,2,0,1,0,1,4
"ENSG00000231333",0,2,3,4,1,2,1,4
"ENSG00000231340",37,57,30,58,56,54,76,36
"ENSG00000231341",0,0,0,2,1,0,1,0
"ENSG00000231344",13,5,4,4,6,6,6,3
"ENSG00000231345",53,56,50,57,56,76,56,52
"ENSG00000231349",0,0,0,3,1,3,6,0
"ENSG00000231350",8,6,8,9,11,1,16,7
"ENSG00000231351",0,0,0,0,0,0,0,0
"ENSG00000231353",0,0,0,0,1,0,0,0
"ENSG00000231356",0,0,0,4,2,4,2,0
"ENSG00000231357",1,12,3,5,14,15,6,2
"ENSG00000231359",1,0,1,1,2,3,0,2
"ENSG00000231361",0,2,0,0,0,2,1,0
"ENSG00000231362",1,2,2,2,0,2,5,0
"ENSG00000231366",1,0,0,2,0,0,1,0
"ENSG00000231368",1,0,0,0,0,0,3,1
"ENSG00000231369",5,3,5,14,6,4,8,2
"ENSG00000231370",345,462,356,169,164,177,175,473
"ENSG00000231371",0,0,0,0,5,2,2,0
"ENSG00000231372",1,0,0,135,85,29,0,3
"ENSG00000231375",0,0,0,0,0,5,0,0
"ENSG00000231376",0,0,0,2,5,1,0,0
"ENSG00000231377",248,242,283,121,131,96,92,250
"ENSG00000231378",38,37,30,45,44,56,43,36
"ENSG00000231381",2,0,1,0,1,0,2,2
"ENSG00000231382",0,0,0,3,4,5,9,0
"ENSG00000231384",9,13,12,6,11,5,9,11
"ENSG00000231385",0,0,0,2,2,0,0,0
"ENSG00000231386",3,0,1,0,3,5,2,0
"ENSG00000231388",0,0,0,6,2,4,2,0
"ENSG00000231389",109,167,111,152,142,144,131,162
"ENSG00000231390",11,8,16,2,4,11,3,9
"ENSG00000231392",1,1,0,0,0,0,0,1
"ENSG00000231395",18,21,14,19,13,5,11,15
"ENSG00000231396",0,0,0,0,0,0,0,0
"ENSG00000231397",0,0,0,2,1,1,2,0
"ENSG00000231398",4,10,8,9,8,13,11,6
"ENSG00000231399",0,0,0,0,0,1,0,0
"ENSG00000231402",1,0,3,0,2,1,2,0
"ENSG00000231404",1,0,0,0,1,0,2,1
"ENSG00000231408",0,0,2,2,3,3,1,1
"ENSG00000231409",13,9,18,21,12,27,18,17
"ENSG00000231411",0,0,0,0,0,4,3,0
"ENSG00000231414",0,0,0,0,0,2,1,3
