"","x"
"436","ENSG00000103342"
"437","ENSG00000177663"
"438","ENSG00000181847"
"439","ENSG00000183049"
"440","ENSG00000156299"
"441","ENSG00000143815"
"442","ENSG00000135426"
"443","ENSG00000229474"
"444","ENSG00000065809"
"445","ENSG00000174749"
"446","ENSG00000091317"
"447","ENSG00000168918"
"448","ENSG00000281614"
"449","ENSG00000141298"
"450","ENSG00000117394"
"451","ENSG00000169252"
"452","ENSG00000228198"
"453","ENSG00000174837"
"454","ENSG00000221962"
"455","ENSG00000175857"
"456","ENSG00000120868"
"457","ENSG00000167851"
"458","ENSG00000213626"
"459","ENSG00000144406"
"460","ENSG00000062282"
"461","ENSG00000140563"
"462","ENSG00000163788"
"463","ENSG00000170379"
"464","ENSG00000131238"
"465","ENSG00000150477"
"466","ENSG00000105205"
"467","ENSG00000132530"
"468","ENSG00000112062"
"469","ENSG00000164088"
"470","ENSG00000163328"
"471","ENSG00000125735"
"472","ENSG00000105483"
"473","ENSG00000110876"
"474","ENSG00000151702"
"475","ENSG00000140795"
"476","ENSG00000114861"
"477","ENSG00000147162"
"478","ENSG00000007312"
"479","ENSG00000141506"
"480","ENSG00000038219"
"481","ENSG00000256594"
"482","ENSG00000111335"
"483","ENSG00000137841"
"484","ENSG00000140090"
"485","ENSG00000099804"
"486","ENSG00000144711"
"487","ENSG00000234511"
"488","ENSG00000023892"
"489","ENSG00000073910"
"490","ENSG00000148019"
"491","ENSG00000185215"
"492","ENSG00000204967"
"493","ENSG00000206493"
"494","ENSG00000229252"
"495","ENSG00000230254"
"496","ENSG00000233904"
"497","ENSG00000185201"
"498","ENSG00000127951"
"499","ENSG00000173281"
"500","ENSG00000144401"
"501","ENSG00000196778"
"502","ENSG00000283756"
"503","ENSG00000141469"
"504","ENSG00000113580"
"505","ENSG00000152495"
"506","ENSG00000198736"
"507","ENSG00000239713"
"508","ENSG00000167080"
"509","ENSG00000167483"
"510","ENSG00000214425"
"511","ENSG00000106714"
"512","ENSG00000153317"
"513","ENSG00000103148"
"514","ENSG00000118260"
"515","ENSG00000115525"
"516","ENSG00000231551"
"517","ENSG00000168229"
"518","ENSG00000132549"
"519","ENSG00000089280"
"520","ENSG00000015133"
"521","ENSG00000205268"
"522","ENSG00000126353"
"523","ENSG00000125772"
