"","Correlation","Gene"
"312",0.834573109204637,"LTF"
"313",0.606222282632374,"EXTL3"
"314",0.617354157203162,"NR1H4"
"315",0.903061871680165,"ELOVL5"
"316",0.95463384094276,"ALOX5"
"317",0.658846911559456,"KDM5D"
"318",0.404629574960961,"CALCOCO1"
"319",0.59513746949521,"UBR7"
"320",0.704074910242252,"MAP4K5"
"321",0.436793171014413,"EHD3"
"322",0.948100819393579,"PSMC4"
"323",0.707808862872733,"MAN2B2"
"324",0.720279543695322,"SLC7A14"
"325",0.39208494910792,"CLDN11"
"326",0.799112091038457,"SLC25A39"
"327",0.934167148924186,"MVP"
"328",0.777580333546927,"NUB1"
"329",0.673841584322534,"PGM3"
"330",0.292233639942099,"RWDD2A"
"331",0.51677993057927,"CLK1"
"332",0.787748078312764,"POLR3B"
"333",0.867099621797512,"ANGEL1"
"334",0.884402656079874,"RNF14"
"335",0.365924661005683,"DNASE1L1"
"336",0.681579518751771,"DDX11"
"337",0.863704322898238,"HEBP1"
"338",0.999779107912883,"GPRC5A"
"339",0.511614752654549,"MAMLD1"
"340",0.268255391996434,"CD6"
"341",0.745495518551457,"TACC3"
"342",0.545381514445251,"UFL1"
"343",0.627274055762748,"POLA2"
"344",0.673618483405027,"ZC3H3"
"345",0.813086872246753,"CAPN1"
"346",0.241401206030068,"ACPP"
"347",0.813275309133125,"MDH1"
"348",0.557540837656149,"SLC30A9"
"349",0.802514028411217,"MTMR11"
"350",0.857128908634283,"COX15"
"351",0.566193980587863,"CCDC88C"
"352",0.156654880517459,"YAF2"
"353",0.687658745236488,"ZMYND11"
"354",0.729328396615559,"WAS"
"355",0.934475348904981,"DPEP1"
"356",0.81812942585669,"BID"
"358",0.763380841450505,"NPC1L1"
"359",0.254238978107991,"XYLT2"
"360",0.960512783500786,"STMN4"
"361",0.536151250914715,"NUDCD3"
"362",-0.0392713667543981,"ISL1"
"363",0.472316461763013,"CHDH"
"364",0.981399351096253,"IL20RA"
"365",-0.0526315789473684,"CLCA1"
"366",-0.0721479105365822,"CLCA4"
"367",0.834806071651842,"GLT8D1"
"368",0.748987323696005,"ATP2C1"
"369",0.865936568037682,"IGF1"
"370",0.986225489615237,"SLC38A5"
"371",0.831196557303897,"RALBP1"
"372",0.328438224803173,"RUFY3"
"373",0.821918611912534,"CNTN1"
"374",0.832040731357456,"SLC11A1"
"375",0.846137015894408,"WWTR1"
"376",0.824265231313803,"AGPS"
"377",0.787032675455133,"CXorf56"
"378",0.679250927004215,"ATP1A2"
"379",0.699629908665155,"TTC27"
