"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MSH2",85.8418188856175,1.98829519567728,0.312155182366877,6.36957291755106,1.89555285416134e-10,2.09100820475268e-08
"HIST1H2AG",92.7193974592996,2.73488553611207,0.431584769529184,6.33684441435586,2.34518593929896e-10,2.5366079344742e-08
"ARHGAP11A",34.8028973264131,2.89824064659598,0.457589992758411,6.33370635822915,2.39340826319243e-10,2.57206460903202e-08
"DARS2",167.344760119778,1.72982430793468,0.273598139420093,6.32250026115363,2.57364588967547e-10,2.73052354040282e-08
"CCNB2",29.87044634748,3.45117551634537,0.54741554637421,6.30448941248403,2.89145487014257e-10,2.99148843304129e-08
"HIST1H3C",73.6288760137619,2.71531678834017,0.430634763747563,6.3053822332186,2.87483525661255e-10,2.99148843304129e-08
"DIAPH3",18.7736032484624,3.25947980768998,0.522541756463811,6.23774036690927,4.43936658650183e-10,4.42793588211742e-08
"S100A10",285.851253783615,1.60963869909634,0.25868766638207,6.22232486615336,4.89841436631455e-10,4.82798154436103e-08
"PNPT1",101.771286213322,1.60953357530626,0.259433517367938,6.2040309657582,5.50349495859483e-10,5.36091903656807e-08
"CDKN3",29.022958874868,3.78326960899145,0.611223386729102,6.18966762583679,6.02912077207287e-10,5.70608322161464e-08
"CHML",148.14395499957,2.3750772850568,0.383681897362455,6.19022503116202,6.00783838835045e-10,5.70608322161464e-08
"TOMM40L",94.4447780708941,2.21456968422362,0.359397265335587,6.16189909557537,7.18776500374695e-10,6.76421478346965e-08
"TDRKH",52.4709454659401,1.69640503658791,0.276356851500159,6.13845840035898,8.33261259574834e-10,7.75398480488157e-08
"GNPAT",308.974268276869,1.85958564641763,0.303685232997367,6.12339832287383,9.16003174491952e-10,8.47659159861803e-08
"DUS4L",34.6082422865358,2.28609678685447,0.37480034986838,6.09950547713545,1.06397114620545e-09,9.63183009910008e-08
"STMN1",114.332825379473,1.79184653368698,0.294719272940987,6.07984172804936,1.20301234102402e-09,1.06588173215091e-07
"AURKA",36.4411528977135,2.14482138529906,0.353569653770816,6.0661919438633,1.30978586441258e-09,1.14826858650107e-07
"UBE2T",24.0371920784852,3.38606373957326,0.558870531864148,6.05876235463486,1.37172874585445e-09,1.19004613123425e-07
"CSE1L",312.274396346269,1.85193409834745,0.307805351007234,6.0165753853445,1.78145556533781e-09,1.52172847958112e-07
"ZWINT",37.1065418542337,2.61022181973098,0.435753725213403,5.99013082091878,2.09672311420905e-09,1.74625584566901e-07
"KIF20A",32.1737461911532,2.61488502508883,0.436871736834623,5.9854753801084,2.15758758340207e-09,1.77915526617467e-07
"ESM1",51.5653794204568,3.76384374738516,0.630207143059149,5.97239144119301,2.33800721018997e-09,1.8997163951285e-07
"HIST1H2BD",127.443013570604,1.97198500088656,0.330430847846892,5.96792040978055,2.40296525353977e-09,1.93466221328022e-07
"PCgeneSymbol",122.493780324597,1.39469731508803,0.233949494489398,5.96153164652908,2.49884508956015e-09,2.0011183969617e-07
"HSP90AB1",2328.90374003181,1.80445820740243,0.302776265689204,5.95970824626883,2.52688663644969e-09,2.00430241444488e-07
"HEATR1",308.367935321289,1.84094347603759,0.308872123267616,5.96021245479168,2.51910204908984e-09,2.00430241444488e-07
"TOPBP1",151.725372520798,1.44331786274715,0.242895884584972,5.94212563631244,2.81349647550036e-09,2.16964864779673e-07
"PEG10",1762.28166758609,5.67685536409913,0.958738581524968,5.92117129058219,3.1965670020383e-09,2.40928581687566e-07
"DKK1",130.554234496484,5.77453127827467,0.975479472579399,5.91968507856494,3.2255866549322e-09,2.42020706807233e-07
"NUP155",243.003830159003,1.27404391410588,0.215828119123419,5.90304877455441,3.56844717490526e-09,2.65355466930343e-07
"KIF18A",12.9114763166983,3.77997529932179,0.641848732328776,5.88919960254055,3.88070509848663e-09,2.87292910335519e-07
"LIN9",28.6377516520753,2.76346796189752,0.470428171155312,5.87436750463051,4.24460801950599e-09,3.12842636198723e-07
"PLPPR1",164.372471248801,3.0966048646915,0.527710937662632,5.8679944713808,4.41097957333888e-09,3.22253012075025e-07
"SULT1C2",183.707106323313,3.5958038840639,0.612981791270132,5.86608596743665,4.46202514258413e-09,3.23147620869669e-07
"HIST1H2AE",87.0433313203836,2.19615527949707,0.3743761606614,5.86617287707952,4.45968818242444e-09,3.23147620869669e-07
"KIFC1",40.0332395454139,2.74364149559326,0.468162529448968,5.86044658213582,4.61624019600795e-09,3.3143410752114e-07
"CDC6",32.2852844108346,2.76470240418894,0.473503158374614,5.83882568741313,5.25700350667847e-09,3.71041980553997e-07
"RRM2",86.5039491970258,2.14563104340525,0.368295642897636,5.82583879223791,5.6826450732826e-09,3.93382046936121e-07
"MTBP",24.3744344230146,2.35772229174551,0.404820065267232,5.82412408384233,5.74129094453586e-09,3.95176377120388e-07
"PARPBP",16.7711212414182,3.56482705840697,0.613059529557412,5.81481387456865,6.07013878481478e-09,4.12695109137387e-07
"CCT3",1062.5942091487,2.03942586697308,0.350884497481177,5.8122427226426,6.16413757367042e-09,4.14664303973946e-07
"IARS",454.389611017594,1.40499808661653,0.24187278700007,5.80883076613379,6.29106400401979e-09,4.2084439001991e-07
"KIF23",26.466669031677,3.15975518407072,0.544324388393662,5.80491201835614,6.43998112191459e-09,4.25677641062426e-07
"IQGAP3",82.4216992301446,2.8646617794057,0.493804811461689,5.80120264710697,6.58409710328034e-09,4.29139290610356e-07
"FOXM1",65.7241291403939,2.99434842061888,0.517534603238405,5.78579364912441,7.21707648912082e-09,4.67762035327959e-07
"PRC1",64.7850821717763,2.48978728993464,0.431158661590749,5.77464286754354,7.71164734488866e-09,4.97879495441126e-07
"SSBP1",163.500499679153,1.33152467272962,0.230902852342015,5.76660123174812,8.08861320048886e-09,5.20200888341864e-07
"TBC1D31",50.8316278036585,2.0769841189391,0.360322263736134,5.7642403147758,8.20264686604956e-09,5.23994857765848e-07
"WDHD1",25.6388285486892,2.90160156870788,0.504380537391472,5.75280240533116,8.77760595460471e-09,5.49656324758837e-07
"HIST1H2BG",82.6676017250567,2.14314804349473,0.372533155148652,5.7529055169319,8.77225183237469e-09,5.49656324758837e-07
"TXNRD1",921.533789750463,2.52942362963623,0.4398529824938,5.7506115231852,8.89212242609052e-09,5.54741884836666e-07
"LANCL1",282.185122693708,2.1072870676134,0.367164268721654,5.73935768573093,9.50363070458067e-09,5.90679017336568e-07
