"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"HIST1H2AM",61.6466953397961,2.41525794659461,0.425193057291672,5.68037954800799,1.34396171066012e-08,1.11031913634536e-06
"IARS",429.850934509267,1.06759221186549,0.188117484989192,5.6751354714679,1.38578942639254e-08,1.13814070419368e-06
"IGF2BP3",30.841508154295,5.17004788557534,0.914942263668877,5.65068211500437,1.59812391634731e-08,1.28976913988677e-06
"CHKA",197.01744863873,2.25603208347084,0.399385325956592,5.64876057493421,1.61608748053517e-08,1.29677088524322e-06
"CDCA3",23.400167745181,3.72898851705238,0.661235100047936,5.63942917849044,1.7061480577792e-08,1.34583272218719e-06
"HIST1H3H",103.402722464808,2.33491588528904,0.415737177665662,5.61632687843664,1.95059493690693e-08,1.49638497302717e-06
"ANLN",110.807453930198,3.21862935870941,0.574743698157755,5.6001124832272,2.14212760742287e-08,1.61666949485611e-06
"ILF2",573.381577011125,1.05852641751945,0.190136800169204,5.56718329422533,2.58890030423837e-08,1.8924725679464e-06
"RACGAP1",75.7588926052447,2.24886880381443,0.404158521151968,5.56432361590327,2.63171164284755e-08,1.90927754469386e-06
"HIST1H2AG",47.6124670885232,2.54470874624175,0.457366745044095,5.56382547226168,2.63923912137169e-08,1.90927754469386e-06
"SF3B4",250.300219329027,1.37130108721554,0.24702290051404,5.55131157622206,2.83534214427687e-08,2.03010497530224e-06
"TOMM6",156.055229339057,1.73412408418835,0.312531816074899,5.54863215517476,2.87913213177308e-08,2.05094096039876e-06
"FAM3B",122.846260742022,3.77636511675387,0.68075173827568,5.54734553644955,2.90039195297183e-08,2.0534337554555e-06
"NDC80",33.765493209437,2.72226564792327,0.493102582629181,5.52068827830586,3.37674357011882e-08,2.33836639640158e-06
"DDX39A",179.478860825079,2.05621338090431,0.372415457367102,5.52128903413757,3.3652168795347e-08,2.33836639640158e-06
"PLVAP",257.540638465627,2.20696930774777,0.400392632754807,5.51201277746606,3.54753159502582e-08,2.39278435409423e-06
