"","A1","A2","A3","B1","B2","B3","B4","B5","А4","А5"
"ENSG00000211667",19,28,27,15,10,11,6,66,26,53
"ENSG00000211668",4233,3637,4480,92,87,61,61,679,4029,13198
"ENSG00000211669",486,410,521,1,5,3,5,135,463,1800
"ENSG00000211670",239,187,222,41,34,27,23,103,200,462
"ENSG00000211672",6,9,12,3,1,2,3,8,14,23
"ENSG00000211673",3093,2497,3170,72,80,63,47,685,3254,8396
"ENSG00000211674",12,4,12,5,3,1,2,13,11,20
"ENSG00000211675",13082,11906,12550,92,100,73,57,3558,11633,55258
"ENSG00000211676",91,59,102,1,8,2,5,24,77,310
"ENSG00000211677",32582,28199,32112,713,624,527,587,7525,29701,97532
"ENSG00000211678",65,64,75,3,3,3,3,40,91,268
"ENSG00000211679",22217,19318,21568,407,367,284,311,4350,20453,71796
"ENSG00000211680",0,0,0,2,2,1,0,0,0,0
"ENSG00000211681",0,0,0,0,0,0,0,0,0,0
"ENSG00000211682",0,0,0,4,2,5,0,0,0,0
"ENSG00000211684",0,4,1,0,0,0,0,0,0,2
"ENSG00000211685",308,242,316,8,13,8,8,65,327,1005
"ENSG00000211687",2,7,1,15,18,19,14,8,2,0
"ENSG00000211688",5,3,4,16,9,6,8,17,3,1
"ENSG00000211689",50,64,53,523,569,495,527,1273,55,76
"ENSG00000211690",2,7,1,15,18,19,14,8,2,0
"ENSG00000211691",1,0,0,4,5,1,8,3,0,0
"ENSG00000211692",0,0,1,4,8,7,14,11,0,0
"ENSG00000211693",0,0,0,4,1,9,0,0,0,0
"ENSG00000211694",22,18,32,83,80,101,89,172,34,19
"ENSG00000211695",24,26,18,79,86,94,92,142,19,6
"ENSG00000211696",7,11,14,52,50,34,49,62,13,9
"ENSG00000211697",6,1,12,54,80,58,67,75,10,10
"ENSG00000211698",50,46,55,268,261,268,258,176,37,33
"ENSG00000211699",22,19,18,143,126,133,155,84,28,21
"ENSG00000211701",19,11,20,110,134,117,111,6,15,2
"ENSG00000211706",1,1,1,7,13,10,4,120,1,2
"ENSG00000211707",0,0,0,0,1,0,2,2,0,0
"ENSG00000211710",0,1,0,17,21,18,14,168,1,1
"ENSG00000211713",0,1,1,0,2,1,2,4,0,2
"ENSG00000211714",1,0,0,3,3,4,4,9,0,0
"ENSG00000211715",2,0,1,0,0,3,1,0,1,1
"ENSG00000211716",2,2,0,4,2,20,3,32,1,0
"ENSG00000211717",1,0,2,2,2,3,0,16,1,0
"ENSG00000211720",1,2,2,2,6,4,3,66,0,1
"ENSG00000211721",1,3,3,25,20,21,13,162,3,5
"ENSG00000211724",14,8,8,14,10,6,11,52,6,21
"ENSG00000211725",2,3,1,17,5,6,4,61,2,0
"ENSG00000211727",6,6,5,34,17,28,26,194,9,5
"ENSG00000211728",2,1,3,9,15,13,11,84,6,2
"ENSG00000211731",5,1,3,3,3,7,3,0,1,0
"ENSG00000211734",0,2,2,35,38,39,32,356,2,2
"ENSG00000211739",1,0,0,0,1,1,2,2,0,0
"ENSG00000211745",1,1,2,6,6,9,7,36,1,3
"ENSG00000211746",7,0,5,28,55,38,33,256,3,5
"ENSG00000211747",4,7,8,14,26,10,33,277,7,11
"ENSG00000211749",1,2,2,8,8,8,6,48,5,2
"ENSG00000211750",1,5,5,0,3,0,0,12,2,0
"ENSG00000211751",121,124,124,765,813,770,663,10812,139,394
"ENSG00000211752",5,3,2,12,17,13,11,162,3,10
"ENSG00000211753",1,3,0,35,39,30,29,265,2,3
"ENSG00000211764",1,0,2,8,5,5,3,39,0,1
"ENSG00000211765",0,1,1,4,4,3,4,23,0,0
"ENSG00000211766",0,0,1,3,1,5,3,46,1,1
"ENSG00000211767",1,2,2,6,17,17,14,105,2,6
"ENSG00000211768",0,0,0,2,2,2,0,25,0,1
"ENSG00000211769",0,0,1,1,2,0,2,7,1,0
"ENSG00000211770",0,0,0,3,4,3,4,19,1,1
"ENSG00000211771",1,4,0,12,9,12,7,55,2,3
"ENSG00000211772",0,17,0,30,60,70,51,426,14,0
"ENSG00000211776",2,0,0,17,19,12,29,90,0,2
"ENSG00000211777",7,2,3,16,32,19,19,139,2,8
"ENSG00000211778",17,7,9,32,33,18,30,144,7,23
"ENSG00000211779",5,4,6,21,19,31,18,122,5,5
"ENSG00000211780",2,2,1,10,14,10,11,66,1,0
"ENSG00000211781",0,0,0,0,1,2,4,0,0,0
"ENSG00000211782",1,1,3,15,11,11,9,83,2,4
"ENSG00000211783",0,0,0,0,0,0,1,0,0,0
"ENSG00000211784",4,3,7,18,11,19,11,79,3,0
"ENSG00000211785",4,6,6,36,37,35,31,187,2,5
"ENSG00000211786",5,2,5,27,16,16,21,154,14,13
"ENSG00000211787",13,11,8,39,51,58,33,145,9,11
"ENSG00000211788",8,7,7,41,50,35,39,259,7,8
"ENSG00000211789",16,12,10,42,39,49,62,353,16,27
"ENSG00000211790",7,6,11,28,19,17,21,169,6,5
"ENSG00000211791",4,6,6,31,28,32,29,183,4,3
"ENSG00000211792",10,5,10,28,23,21,16,166,6,9
"ENSG00000211793",2,1,2,41,40,33,33,303,1,3
"ENSG00000211794",8,12,7,36,37,41,32,233,12,6
"ENSG00000211795",6,2,3,37,30,43,41,176,6,16
"ENSG00000211796",12,10,9,15,18,11,27,100,7,15
"ENSG00000211797",18,8,10,36,35,26,45,240,13,12
"ENSG00000211798",2,0,1,10,8,11,10,33,3,5
"ENSG00000211799",10,8,11,39,41,40,42,281,5,13
"ENSG00000211800",2,0,1,19,27,17,24,107,1,0
"ENSG00000211801",7,2,9,28,30,31,32,219,7,4
"ENSG00000211802",0,5,1,22,26,26,25,94,3,5
"ENSG00000211803",4,2,2,27,22,25,25,155,0,5
"ENSG00000211804",5,2,1,43,47,47,45,203,2,2
"ENSG00000211805",2,6,4,7,16,16,18,62,5,2
"ENSG00000211806",7,7,6,29,26,11,22,153,4,4
"ENSG00000211807",7,5,4,9,12,11,11,110,1,6
"ENSG00000211808",0,0,0,0,1,1,2,0,0,0
"ENSG00000211809",5,1,6,12,18,28,20,138,0,4
"ENSG00000211810",7,7,3,24,33,14,28,308,3,27
"ENSG00000211812",3,0,5,16,15,17,16,87,4,9
"ENSG00000211813",1,0,1,3,8,4,6,24,0,0
"ENSG00000211814",0,0,2,12,12,16,12,95,1,2
"ENSG00000211815",0,0,3,6,18,7,5,75,2,2
"ENSG00000211816",0,1,2,15,15,20,19,62,0,3
"ENSG00000211817",4,4,7,13,24,38,32,195,4,5
"ENSG00000211818",0,0,2,10,11,14,17,74,0,1
"ENSG00000211819",1,1,0,4,4,7,9,23,0,0
"ENSG00000211820",3,1,3,21,18,12,15,123,3,2
"ENSG00000211821",0,1,3,18,33,26,25,114,1,0
"ENSG00000211825",2,0,2,39,54,41,32,107,4,4
"ENSG00000211826",0,0,0,7,14,26,8,0,1,0
"ENSG00000211827",1,3,2,13,22,14,10,17,4,3
"ENSG00000211828",1,0,1,18,16,9,15,6,0,2
"ENSG00000211829",64,50,70,388,379,412,388,2527,77,130
"ENSG00000211831",0,0,1,3,3,2,4,0,0,0
"ENSG00000211832",1,0,0,7,5,4,4,0,0,0
"ENSG00000211833",0,0,0,3,0,7,2,5,0,1
"ENSG00000211834",0,0,0,5,4,2,7,6,0,0
"ENSG00000211835",0,0,1,5,11,2,6,1,4,0
"ENSG00000211836",0,0,0,6,2,5,7,4,0,0
"ENSG00000211837",1,1,1,3,12,7,9,4,0,1
"ENSG00000211838",2,3,2,18,13,10,11,12,1,0
"ENSG00000211839",4,0,1,15,17,10,13,0,2,0
"ENSG00000211840",0,1,1,12,12,4,14,19,2,2
"ENSG00000211841",2,0,2,30,22,19,15,9,4,2
"ENSG00000211842",0,8,2,6,5,10,12,2,2,0
"ENSG00000211843",1,6,2,26,14,20,21,0,1,0
"ENSG00000211844",3,7,2,36,25,29,25,9,1,1
"ENSG00000211845",3,9,1,34,19,26,31,2,6,1
"ENSG00000211846",1,3,2,20,24,25,18,9,1,0
"ENSG00000211847",4,7,11,38,18,34,21,9,7,1
"ENSG00000211848",2,9,7,16,14,10,8,10,3,0
"ENSG00000211849",6,10,2,23,37,29,28,4,10,0
"ENSG00000211850",5,13,5,38,28,40,37,6,7,0
"ENSG00000211851",4,4,13,42,25,37,42,2,5,0
"ENSG00000211854",3,4,2,11,28,13,13,0,3,0
"ENSG00000211855",1,1,2,28,29,26,17,4,3,0
"ENSG00000211856",8,6,8,37,46,22,41,8,2,0
"ENSG00000211857",4,9,5,24,18,22,20,11,3,0
"ENSG00000211858",4,6,4,67,61,48,40,9,4,0
"ENSG00000211859",1,4,1,40,37,20,20,7,2,0
"ENSG00000211860",6,6,2,26,26,17,27,5,1,0
"ENSG00000211861",3,15,4,42,36,36,40,11,4,0
"ENSG00000211862",4,8,3,51,49,41,36,8,4,0
"ENSG00000211863",2,7,8,52,37,26,31,0,3,0
"ENSG00000211864",4,3,4,28,16,13,16,0,0,0
"ENSG00000211865",1,3,8,18,24,19,24,1,6,0
"ENSG00000211866",4,13,7,55,37,35,40,3,6,0
"ENSG00000211867",12,6,18,67,57,59,67,6,4,0
"ENSG00000211868",10,7,4,70,61,53,47,3,9,0
"ENSG00000211869",8,10,2,58,81,42,58,15,2,0
"ENSG00000211870",9,8,11,65,64,61,52,0,3,0
"ENSG00000211871",7,4,4,42,48,48,45,5,4,2
"ENSG00000211872",8,4,3,41,48,43,38,0,2,0
"ENSG00000211873",4,8,3,31,23,31,32,1,5,0
"ENSG00000211875",3,10,4,47,54,50,43,0,3,0
"ENSG00000211876",6,6,7,61,54,50,52,3,5,1
"ENSG00000211877",6,10,12,76,76,60,59,13,9,1
"ENSG00000211878",4,0,2,48,40,22,34,6,6,1
"ENSG00000211879",11,12,9,89,65,85,68,2,14,0
"ENSG00000211880",4,6,2,41,40,34,37,8,4,0
"ENSG00000211881",2,1,3,14,20,17,14,1,1,1
"ENSG00000211882",4,4,8,44,39,28,26,0,6,1
"ENSG00000211883",9,3,4,52,49,58,41,14,14,0
"ENSG00000211884",2,0,3,33,42,32,39,9,8,0
"ENSG00000211885",3,6,3,38,22,35,35,9,11,0
"ENSG00000211886",2,6,12,26,29,39,39,8,5,0
"ENSG00000211887",5,6,3,14,15,23,22,0,4,0
"ENSG00000211888",1,4,3,17,23,13,20,3,1,3
"ENSG00000211890",329,265,283,11,12,4,10,539,317,1264
"ENSG00000211891",7,1,3,1,0,7,4,0,2,0
"ENSG00000211892",112,84,87,20,17,21,13,479,114,215
"ENSG00000211893",155,118,160,10,7,13,9,1235,564,274
"ENSG00000211895",34668,28254,32498,296,234,192,242,8285,32051,202150
"ENSG00000211896",1955,1708,1877,15,16,14,14,1537,1872,5906
"ENSG00000211897",385,41,39,11,12,13,10,715,120,104
"ENSG00000211898",22,14,18,75,71,46,53,2617,17,58
"ENSG00000211899",14452,12199,14026,1723,1531,1266,1153,25516,13739,39206
"ENSG00000211900",0,0,0,0,0,0,0,0,0,0
"ENSG00000211904",0,0,29,0,0,3,5,23,0,0
"ENSG00000211905",31,34,34,1,1,0,2,13,26,115
"ENSG00000211907",0,0,0,0,0,0,0,0,0,0
"ENSG00000211909",0,0,0,0,0,0,0,0,0,0
"ENSG00000211911",0,0,0,0,0,0,5,0,0,0
"ENSG00000211912",0,0,0,0,0,0,0,0,0,0
"ENSG00000211914",0,0,0,0,0,0,0,0,0,0
"ENSG00000211915",0,0,0,0,0,0,0,0,0,0
"ENSG00000211917",0,0,0,0,1,1,1,0,0,0
"ENSG00000211918",0,0,0,0,1,1,2,0,0,0
"ENSG00000211920",0,0,0,0,0,0,0,0,0,0
"ENSG00000211921",0,0,0,0,0,0,0,0,0,0
"ENSG00000211923",0,0,0,0,1,0,1,0,1,0
"ENSG00000211924",0,0,1,1,1,0,4,0,0,0
"ENSG00000211925",0,0,0,0,0,0,0,0,0,0
"ENSG00000211928",0,0,0,0,0,0,0,0,0,0
"ENSG00000211930",0,0,0,0,0,1,2,0,1,1
"ENSG00000211931",0,0,0,0,0,1,0,1,0,0
"ENSG00000211933",0,1,0,9,11,6,0,0,0,0
"ENSG00000211934",186,169,185,10,9,12,10,102,167,598
"ENSG00000211935",509,467,501,9,15,11,15,127,451,1558
"ENSG00000211937",440,378,413,9,15,11,8,104,380,1685
"ENSG00000211938",38,256,46,0,0,0,0,0,1,8
"ENSG00000211941",532,437,581,12,9,11,8,100,510,1178
"ENSG00000211942",152,157,168,8,5,7,4,18,147,290
"ENSG00000211943",116,9,1,0,0,0,0,0,50,12
"ENSG00000211944",3,3,1,0,0,1,0,0,4,7
"ENSG00000211945",0,0,0,0,0,0,0,0,0,0
"ENSG00000211946",148,138,155,4,4,2,2,12,137,380
"ENSG00000211947",0,0,0,0,0,0,0,0,0,0
"ENSG00000211949",6113,5373,5905,73,72,82,76,622,5704,13632
"ENSG00000211950",0,0,0,8,0,0,0,0,0,0
"ENSG00000211951",26,209,240,9,0,11,9,56,214,0
"ENSG00000211952",96,81,95,0,1,1,1,12,81,333
"ENSG00000211955",1978,1667,1958,54,36,27,50,282,2118,3909
"ENSG00000211956",0,0,0,0,0,0,0,0,7,0
"ENSG00000211957",0,53,0,0,0,6,7,7,0,0
"ENSG00000211958",20,35,33,2,0,0,0,1,27,66
"ENSG00000211959",1960,1864,2071,37,0,26,40,0,1851,6679
"ENSG00000211961",6,5,10,2,1,3,0,8,6,24
"ENSG00000211962",94,0,0,0,0,0,12,0,0,0
"ENSG00000211964",1532,1435,1596,27,20,17,19,141,1455,3432
"ENSG00000211965",1130,965,1100,13,15,17,12,113,1038,2644
"ENSG00000211966",0,0,0,0,0,0,0,0,0,0
"ENSG00000211967",345,291,337,9,13,10,7,55,338,838
"ENSG00000211968",27,24,25,3,4,2,1,6,20,90
"ENSG00000211970",670,574,652,6,3,8,8,79,608,1935
"ENSG00000211972",0,0,0,0,0,0,4,0,0,0
"ENSG00000211973",215,134,86,0,15,19,0,0,1,24
"ENSG00000211974",79,90,86,2,2,1,1,8,83,367
"ENSG00000211976",49,21,363,6,0,7,4,0,156,564
"ENSG00000211978",8,8,17,4,3,5,4,25,12,26
"ENSG00000211979",33,25,38,2,0,3,2,6,35,126
"ENSG00000212122",0,0,0,4,4,2,11,1,0,2
"ENSG00000212123",33,33,41,8,5,2,9,107,38,162
"ENSG00000212124",32,26,28,21,28,40,32,0,36,2
"ENSG00000212125",17,23,22,34,35,43,33,2,20,1
"ENSG00000212126",11,19,11,23,26,22,21,0,13,0
"ENSG00000212127",8,11,3,0,0,6,0,19,27,23
"ENSG00000212128",22,18,18,35,28,37,38,0,17,0
"ENSG00000212138",0,0,0,0,1,1,0,0,0,0
"ENSG00000212154",0,0,0,0,0,0,1,0,0,0
"ENSG00000212171",0,0,0,1,1,1,2,0,0,0
"ENSG00000212176",0,0,0,1,3,0,0,4,0,0
"ENSG00000212204",0,2,0,0,0,0,0,0,0,0
"ENSG00000212237",0,0,0,0,0,2,2,0,0,0
"ENSG00000212238",0,0,0,0,0,0,0,0,0,0
"ENSG00000212242",12,13,6,10,14,10,8,1,8,1
"ENSG00000212251",0,0,0,0,0,0,1,0,0,0
"ENSG00000212258",0,0,0,0,0,0,0,0,0,0
"ENSG00000212265",0,1,4,6,4,5,3,0,1,0
"ENSG00000212276",0,0,0,0,0,0,0,0,0,0
"ENSG00000212280",5,3,4,1,0,0,0,0,1,0
"ENSG00000212289",1,1,0,0,0,1,0,0,0,0
"ENSG00000212308",0,0,0,1,2,1,0,0,0,0
"ENSG00000212312",0,0,0,0,0,0,0,0,0,0
"ENSG00000212331",6,3,9,13,16,8,16,0,4,1
"ENSG00000212333",0,0,0,2,3,0,0,0,0,0
"ENSG00000212336",1,1,4,4,0,0,3,0,2,0
"ENSG00000212365",0,0,0,0,0,1,0,0,0,0
"ENSG00000212373",0,0,0,1,0,3,2,0,0,0
"ENSG00000212396",2,0,0,0,0,0,1,0,0,0
"ENSG00000212425",0,0,0,3,0,2,0,0,0,0
"ENSG00000212433",0,0,0,0,0,0,0,0,0,0
"ENSG00000212454",0,0,0,0,1,0,0,0,0,0
"ENSG00000212497",2,4,0,1,1,2,2,0,1,0
"ENSG00000212499",0,0,0,0,0,0,0,0,0,0
"ENSG00000212505",0,0,0,0,0,0,0,0,0,0
"ENSG00000212525",9,7,5,5,1,4,3,0,6,0
"ENSG00000212527",0,0,0,0,0,0,0,0,0,0
"ENSG00000212536",0,0,0,1,0,0,2,0,0,0
"ENSG00000212542",1,1,1,2,3,0,1,0,0,0
"ENSG00000212549",0,1,2,1,1,0,1,0,0,0
"ENSG00000212559",0,0,0,2,0,0,0,0,0,0
"ENSG00000212571",0,0,0,0,1,0,1,0,0,0
"ENSG00000212576",0,0,0,0,0,1,0,0,0,1
"ENSG00000212601",7,9,16,1,4,3,3,0,16,0
"ENSG00000212625",0,2,1,1,4,3,5,0,0,0
"ENSG00000212628",0,3,0,3,1,1,0,0,0,0
"ENSG00000212643",0,0,0,0,0,0,0,0,0,0
"ENSG00000212657",0,0,0,0,4,4,4,1,0,1
"ENSG00000212658",0,0,0,0,1,1,1,1,0,0
"ENSG00000212659",8,5,6,10,9,7,7,1,4,0
"ENSG00000212664",14,18,22,3,3,0,0,1,18,8
"ENSG00000212695",4,3,1,4,1,1,3,3,6,0
"ENSG00000212710",1,1,1,9,6,6,11,0,2,0
"ENSG00000212712",0,0,1,2,1,2,2,0,0,0
"ENSG00000212717",0,0,0,0,0,5,0,0,0,0
"ENSG00000212719",252,233,255,389,432,300,424,210,289,153
"ENSG00000212721",0,0,0,1,3,1,1,0,0,0
"ENSG00000212722",0,0,0,0,1,0,1,0,0,0
"ENSG00000212724",0,0,0,3,2,1,5,0,0,0
"ENSG00000212725",0,0,0,1,0,0,0,0,0,0
"ENSG00000212747",68,53,56,3,1,4,2,18,37,194
"ENSG00000212769",1,0,0,0,0,0,0,0,0,0
"ENSG00000212789",0,0,3,4,2,1,3,0,3,1
"ENSG00000212802",2,4,4,0,6,0,0,42,0,0
"ENSG00000212807",48,100,65,233,206,256,276,76,78,25
"ENSG00000212829",0,0,0,1,1,1,3,1,0,0
"ENSG00000212864",2,4,2,0,4,2,11,108,4,60
"ENSG00000212866",753,1214,919,343,324,348,275,665,972,108
"ENSG00000212899",0,1,0,2,4,3,2,0,0,1
"ENSG00000212900",0,0,0,2,1,0,1,0,0,0
"ENSG00000212901",2,4,0,3,5,2,0,0,0,0
"ENSG00000212907",1225,1273,1179,282,263,225,203,29625,1291,84946
"ENSG00000212916",76,87,82,28,38,21,34,62,96,94
"ENSG00000212932",1,0,0,0,0,0,0,0,0,0
"ENSG00000212933",2,0,0,3,2,6,4,0,0,0
"ENSG00000212935",0,0,0,5,4,8,6,0,0,0
"ENSG00000212938",0,0,0,0,1,1,1,0,0,0
"ENSG00000212951",0,5,13,4,0,1,0,8,0,0
"ENSG00000212952",13,10,0,0,6,0,7,0,10,10
"ENSG00000212961",20,23,39,47,57,64,42,16,32,3
"ENSG00000212989",0,0,0,2,2,2,1,0,0,0
"ENSG00000212993",50,44,44,100,107,114,106,84,45,6
"ENSG00000212994",0,0,0,3,0,0,0,0,0,0
"ENSG00000213003",25,28,38,102,92,112,119,0,28,0
"ENSG00000213005",10,19,6,6,7,8,6,0,10,0
"ENSG00000213013",2,0,3,7,4,1,2,10,8,1
"ENSG00000213014",1,0,2,5,2,2,5,3,0,2
"ENSG00000213015",96,78,94,93,69,89,76,1189,101,671
"ENSG00000213016",0,0,0,0,0,0,0,0,0,0
"ENSG00000213018",12,7,10,5,8,4,4,1,14,2
"ENSG00000213020",647,659,639,701,779,670,715,395,593,267
"ENSG00000213022",0,0,0,3,0,4,4,0,0,0
"ENSG00000213023",3,0,1,20,28,15,17,2,0,3
"ENSG00000213024",927,905,938,415,365,300,367,2386,788,1606
"ENSG00000213025",3,1,0,0,0,0,1,0,0,3
"ENSG00000213026",0,0,0,1,1,0,1,0,0,0
"ENSG00000213028",0,0,0,1,0,0,3,0,0,1
"ENSG00000213029",0,0,0,0,0,0,0,0,0,0
"ENSG00000213030",0,0,0,9,4,7,0,0,0,0
"ENSG00000213032",0,0,0,0,0,1,1,0,0,0
"ENSG00000213033",36,40,17,62,80,57,81,4,39,4
"ENSG00000213035",0,0,0,0,0,0,2,0,0,0
"ENSG00000213036",1,0,2,5,1,3,3,0,1,0
"ENSG00000213041",7,10,11,4,10,5,5,2,5,1
"ENSG00000213045",17,1,0,15,7,5,10,14,9,2
"ENSG00000213046",99,117,85,63,76,59,57,3,97,0
"ENSG00000213047",4012,4650,4164,1446,1386,1519,1592,270,4426,1475
"ENSG00000213048",0,0,0,1,5,4,1,0,0,0
"ENSG00000213049",4,2,5,37,30,28,27,4,2,0
"ENSG00000213050",16,11,7,8,12,9,8,0,32,1
"ENSG00000213051",5,5,5,2,3,1,2,0,4,1
"ENSG00000213055",40,22,28,13,13,20,16,2,29,0
"ENSG00000213058",3,1,2,5,4,3,4,8,2,0
"ENSG00000213060",1,2,0,2,2,4,8,4,1,1
"ENSG00000213061",0,0,0,3,1,0,1,2,0,0
"ENSG00000213063",0,0,1,1,2,0,0,0,0,0
"ENSG00000213064",6333,6749,6398,5722,5353,5552,5604,3146,6358,3275
"ENSG00000213065",0,0,0,3,4,4,4,0,0,0
"ENSG00000213066",2100,1909,2111,1134,980,1053,1314,869,2268,1728
"ENSG00000213067",0,0,0,6,3,5,5,0,0,0
"ENSG00000213068",0,0,0,0,1,0,2,0,1,0
"ENSG00000213069",0,0,1,1,1,0,0,0,0,0
"ENSG00000213070",0,0,0,5,3,0,2,0,0,0
"ENSG00000213071",62,88,60,612,535,510,621,90,68,14
"ENSG00000213073",144,196,127,679,501,489,498,199,142,104
"ENSG00000213075",22,3,0,12,14,6,5,11,2,1
"ENSG00000213076",4,1,1,0,0,1,0,0,0,0
"ENSG00000213078",0,5,2,5,2,1,4,0,1,0
"ENSG00000213079",2441,2471,2555,2149,1926,1846,1776,1124,2412,1393
"ENSG00000213080",2,1,2,2,3,5,2,2,0,1
"ENSG00000213081",0,1,3,5,9,4,7,0,1,0
"ENSG00000213082",0,0,0,0,0,0,1,0,0,0
"ENSG00000213083",0,0,0,3,0,2,4,0,0,0
"ENSG00000213085",5,2,14,87,102,78,95,147,6,8
"ENSG00000213087",0,0,0,0,0,0,0,1,0,0
"ENSG00000213088",146,85,129,26,41,24,19,193,115,361
"ENSG00000213089",19,14,17,5,11,10,2,0,14,3
"ENSG00000213090",32,35,50,125,108,127,118,14,48,4
"ENSG00000213091",1,0,0,2,1,6,2,0,0,0
"ENSG00000213096",491,548,511,440,573,552,535,91,527,239
"ENSG00000213100",0,1,0,1,0,3,0,0,0,0
"ENSG00000213104",2,1,0,4,3,4,4,1,2,2
"ENSG00000213107",0,0,0,4,10,10,4,0,0,0
"ENSG00000213108",0,0,0,2,3,0,2,0,0,0
"ENSG00000213109",16,21,15,19,14,18,13,2,14,0
"ENSG00000213110",0,0,0,0,0,2,1,0,0,0
"ENSG00000213111",3,0,2,4,1,3,2,0,0,0
"ENSG00000213113",0,0,0,0,2,0,1,0,0,0
"ENSG00000213115",0,1,0,2,1,0,3,0,0,0
"ENSG00000213117",1,0,0,1,0,0,3,0,0,0
"ENSG00000213118",0,0,0,1,0,1,0,0,0,0
"ENSG00000213120",0,0,0,4,4,2,1,0,1,0
"ENSG00000213122",0,0,0,1,0,1,1,0,0,0
"ENSG00000213123",35,24,31,35,30,32,24,73,32,57
"ENSG00000213126",0,0,0,1,0,0,0,0,0,0
"ENSG00000213128",0,0,0,0,0,3,1,0,0,0
"ENSG00000213130",0,0,0,4,1,1,2,0,0,0
"ENSG00000213131",1,4,1,2,6,6,12,1,2,1
"ENSG00000213133",7,10,7,1,7,0,3,0,6,1
"ENSG00000213137",28,18,28,41,43,33,25,1,23,1
"ENSG00000213139",75,73,98,119,139,135,115,291,96,140
"ENSG00000213140",0,0,0,4,1,0,3,0,0,1
"ENSG00000213144",6,2,4,0,5,0,2,0,1,13
"ENSG00000213145",1044,842,1155,123,136,167,130,12302,1150,10436
"ENSG00000213147",0,2,4,0,0,5,0,0,5,12
"ENSG00000213148",0,0,0,1,1,2,0,0,0,0
"ENSG00000213149",3,2,5,10,11,9,11,31,4,5
"ENSG00000213150",2,5,2,11,7,1,12,1,2,0
"ENSG00000213152",6,12,8,27,39,36,32,3,17,0
"ENSG00000213153",0,0,0,1,1,0,0,0,0,0
"ENSG00000213155",0,0,0,2,4,1,3,0,0,0
"ENSG00000213157",0,0,0,0,2,0,0,1,1,0
"ENSG00000213158",0,0,0,3,0,1,1,0,0,0
"ENSG00000213159",0,0,0,1,4,0,1,0,0,0
"ENSG00000213160",942,886,1098,90,128,98,82,42,888,607
"ENSG00000213169",0,0,0,0,3,1,2,0,0,0
"ENSG00000213170",0,0,3,4,1,1,4,0,0,0
"ENSG00000213171",15,9,4,9,9,12,15,7,16,2
"ENSG00000213172",0,0,0,6,12,6,8,0,0,0
"ENSG00000213174",0,0,0,0,2,0,0,0,0,0
"ENSG00000213176",26,21,26,4,3,4,8,2,34,0
"ENSG00000213177",0,0,0,0,0,3,0,1,0,0
"ENSG00000213178",587,648,539,187,148,222,190,805,471,1096
"ENSG00000213179",0,1,0,1,1,0,0,0,0,0
"ENSG00000213180",10,8,12,19,19,12,17,0,11,0
"ENSG00000213181",0,0,0,2,5,4,5,0,0,0
"ENSG00000213182",0,0,0,3,2,4,3,0,0,0
"ENSG00000213183",1,1,0,0,1,1,0,0,0,0
"ENSG00000213184",0,0,1,3,5,4,6,0,0,0
"ENSG00000213185",28,38,40,63,63,48,56,133,37,46
"ENSG00000213186",374,424,522,407,408,365,331,241,461,238
"ENSG00000213187",0,0,0,1,3,0,4,0,0,0
"ENSG00000213188",9,1,6,11,4,8,6,3,8,3
"ENSG00000213189",67,45,42,7,29,16,14,5,34,64
"ENSG00000213190",121,117,126,451,367,291,307,658,104,197
"ENSG00000213194",0,0,0,2,0,1,0,0,0,0
"ENSG00000213197",19,11,19,9,7,1,4,0,11,0
"ENSG00000213199",27,8,24,16,8,13,21,98,23,91
"ENSG00000213201",0,0,0,0,0,2,4,0,0,0
"ENSG00000213203",278,331,287,1497,1321,1124,1265,4757,344,383
"ENSG00000213204",54,73,60,134,88,112,133,5,52,25
"ENSG00000213205",0,0,1,3,2,2,2,4,0,0
"ENSG00000213209",0,0,0,4,0,0,0,0,0,0
"ENSG00000213210",0,0,0,2,0,1,3,0,0,0
"ENSG00000213211",0,0,0,1,0,0,2,0,0,0
"ENSG00000213212",58,45,48,52,64,60,53,22,72,6
"ENSG00000213213",114,84,135,27,34,22,36,144,100,172
"ENSG00000213214",1107,1117,1143,44,61,56,37,33,1024,1941
"ENSG00000213215",87,74,76,47,68,43,66,6,83,32
"ENSG00000213216",7,6,12,27,23,29,29,1,10,1
"ENSG00000213218",0,0,0,3,4,1,4,0,0,0
"ENSG00000213221",68,67,65,56,52,57,57,434,86,103
"ENSG00000213222",53,48,63,5,4,1,3,3,61,30
"ENSG00000213225",8,8,10,5,11,16,21,13,4,8
"ENSG00000213226",0,2,1,1,2,0,3,0,2,1
"ENSG00000213228",10,15,21,20,30,22,29,11,13,7
"ENSG00000213231",6,1,6,9,9,15,17,46,1,0
"ENSG00000213232",1,0,0,1,0,0,1,0,0,0
"ENSG00000213233",0,8,3,4,2,4,5,0,0,0
"ENSG00000213234",7,6,11,15,20,19,16,0,5,1
"ENSG00000213235",7,5,5,3,3,5,4,3,6,2
"ENSG00000213236",3,0,1,0,0,2,4,0,2,0
"ENSG00000213237",1,0,1,2,1,3,4,1,0,0
"ENSG00000213238",0,0,0,0,1,4,1,0,0,0
"ENSG00000213239",7,4,6,3,1,3,2,5,2,12
"ENSG00000213240",89,110,55,365,481,404,443,0,76,5
"ENSG00000213244",2,4,1,3,3,1,0,0,0,0
