"","A1","A2","A3","B1","B2","B3","B4","B5","А4","А5"
"ENSG00000006740",828,984,854,120,116,117,124,48,770,1051
"ENSG00000006744",1164,1031,1181,810,803,749,773,1288,1283,1314
"ENSG00000006747",4431,4757,4152,479,460,385,381,237,4213,4679
"ENSG00000006756",2785,2635,2809,592,623,666,568,864,2627,3111
"ENSG00000006757",386,370,366,276,276,268,269,473,300,855
"ENSG00000006788",4,4,2,16,17,20,22,0,5,5
"ENSG00000006831",1410,1388,1407,572,618,641,638,1023,1416,2262
"ENSG00000006837",129,127,151,232,203,196,211,90,167,79
"ENSG00000007001",20,25,30,32,44,37,34,6,16,33
"ENSG00000007038",4,4,3,8,8,8,8,84,5,7
"ENSG00000007047",332,300,277,193,264,169,207,818,349,324
"ENSG00000007062",487,466,440,50,130,55,36,29,450,543
"ENSG00000007080",142,120,114,58,74,51,82,1213,136,606
"ENSG00000007129",25,33,22,91,99,78,83,380,22,45
"ENSG00000007168",6096,6431,6716,1835,1955,2055,1839,3417,5650,4924
"ENSG00000007171",188,155,214,7,17,12,18,9,176,251
"ENSG00000007174",53,19,24,96,72,70,85,2,30,6
"ENSG00000007202",4250,4571,3911,3395,3494,3106,3070,5933,4497,4975
"ENSG00000007216",13588,12261,13584,38,43,27,37,720,13167,58015
"ENSG00000007237",1005,923,915,2026,1743,2244,1921,3249,935,602
"ENSG00000007255",147,122,192,134,108,93,104,1358,152,398
"ENSG00000007264",238,193,217,277,271,282,270,2658,193,203
"ENSG00000007306",0,1,0,2,5,15,8,0,4,0
"ENSG00000007312",110,107,120,567,582,543,545,4717,100,156
"ENSG00000007314",3,1,2,86,49,18,70,21,1,4
"ENSG00000007341",658,662,698,385,296,350,319,310,724,419
"ENSG00000007350",0,1,0,33,106,65,60,306,10,2
"ENSG00000007372",75,48,64,122,125,108,125,2,94,99
"ENSG00000007376",288,206,288,56,38,50,35,1141,301,462
"ENSG00000007384",181,116,149,19,35,15,35,15,192,468
"ENSG00000007392",1377,1553,1447,919,854,765,774,3803,1371,2607
"ENSG00000007402",88,83,90,99,82,53,80,511,84,262
"ENSG00000007516",149,170,226,86,62,112,111,1190,124,302
"ENSG00000007520",476,360,492,213,189,188,162,1829,444,1013
"ENSG00000007541",381,290,280,129,190,108,178,1681,346,661
"ENSG00000007545",687,655,702,260,196,140,202,576,762,1200
"ENSG00000007866",620,588,652,16,20,19,9,33,601,2150
"ENSG00000007908",11,4,5,8,29,21,22,0,9,14
"ENSG00000007923",1016,1082,1190,430,549,467,373,930,1095,1366
